Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
 25.20      0.32     0.32   270114     0.00     0.00  count_pair(std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > > const&)
 18.90      0.56     0.24 142620192     0.00     0.00  std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::operator[](unsigned long) const
 13.39      0.73     0.17 142620192     0.00     0.00  std::vector<int, std::allocator<int> >::operator[](unsigned long) const
 10.63      0.86     0.14 84315424     0.00     0.00  std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::size() const
  7.09      0.95     0.09 48262800     0.00     0.00  std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::operator[](unsigned long)
  3.15      0.99     0.04   233834     0.00     0.00  unrotate(std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >&, Operation)
  2.36      1.02     0.03 48262944     0.00     0.00  std::vector<int, std::allocator<int> >::operator[](unsigned long)
  2.36      1.05     0.03   270104     0.00     0.00  rotate(std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >&, Operation)
  1.57      1.07     0.02  1706059     0.00     0.00  bool std::operator< <float, Operation>(std::pair<float, Operation> const&, std::pair<float, Operation> const&)
  1.57      1.09     0.02   456276     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_allocate(unsigned long)
  1.57      1.11     0.02   233834     0.00     0.00  std::_Rb_tree<std::pair<float, Operation>, std::pair<float, Operation>, std::_Identity<std::pair<float, Operation> >, std::less<std::pair<float, Operation> >, std::allocator<std::pair<float, Operation> > >::_M_get_insert_unique_pos(std::pair<float, Operation> const&)
  1.57      1.14     0.02     1810     0.00     0.00  best_operations_random(std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > > const&, int, int, std::function<float (std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >&)> const&)
  0.79      1.15     0.01  1742259     0.00     0.00  __gnu_cxx::__aligned_membuf<std::pair<float, Operation> >::_M_ptr() const
  0.79      1.16     0.01   912528     0.00     0.00  int const* std::__niter_base<int const*, std::vector<int, std::allocator<int> > >(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >)
  0.79      1.17     0.01   772101     0.00     0.00  rand_int(int, int)
  0.79      1.18     0.01   456291     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_deallocate(int*, unsigned long)
  0.79      1.19     0.01   456264     0.00     0.00  int* std::__copy_move_a2<false, int const*, int*>(int const*, int const*, int*)
  0.79      1.20     0.01   282408     0.00     0.00  Operation* std::__niter_base<Operation*>(Operation*)
  0.79      1.21     0.01    87028     0.00     0.00  std::remove_reference<std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >&>::type&& std::move<std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >&>(std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >&)
  0.79      1.22     0.01    83278     0.00     0.00  std::_Vector_base<Operation, std::allocator<Operation> >::_M_allocate(unsigned long)
